From,To,AvgTime
-130820269#4,130820269#4,6.272138228941685
-130820269#4,259831073,11.08135349172066
-130820269#5,-130820269#4,6.272138228941685
-130820269#5,130820269#5,8.597552195824333
-130820269#5,23976711#0,21.690424766018715
-130820269#7,-130820269#5,8.62922966162707
-130820269#7,130820269#6,8.63498920086393
-130820269#7,1351981290,36.015838732901365
-130821718#0,-55692096#9,9.441324694024477
-130821718#0,1214280620#0,4.682505399568035
-130821718#0,130821718#0,10.472282217422606
-130821718#0,38429636,10.508279337652988
-130821718#0,692068509#0,4.063354931605471
-130821718#1,-130821718#0,10.518358531317494
-130821718#1,-22943292#4,6.259179265658747
-130821718#1,130821718#1,0.41612670986321093
-130822232#1,-130822234#5,2.2159827213822894
-130822232#1,130822232#0,1.4125269978401729
-130822232#1,130822234#6,13.0943124550036
-130822232#4,-130822232#1,1.4110871130309575
-130822232#4,101344002#0,1.210943124550036
-130822232#4,130822232#2,18.11231101511879
-130822232#6,-130822232#4,18.095032397408207
-130822232#6,-698771380,10.973362131029516
-130822232#6,130822232#5,9.26709863210943
-130822234#10,-130822234#9,13.089992800575953
-130822234#10,-24044609#5,17.278617710583152
-130822234#10,130822234#10,9.412526997840173
-130822234#13,-130822234#10,9.412526997840173
-130822234#13,-130830296#9,15.434743474347435
-130822234#13,130822234#12,13.34053275737941
-130822234#13,695502507,7.675967596759676
-130822234#14,-130822234#13,13.337652987760977
-130822234#14,-421600465,15.195104391648668
-130822234#14,130822234#14,11.118790496760258
-130822234#18,-130822234#14,11.118790496760258
-130822234#18,-19978070#4,5.820014398848092
-130822234#18,130822234#15,7.035277177825773
-130822234#18,148886353#0,14.175665946724262
-130822234#19,-130822234#18,7.041036717062634
-130822234#19,-238840924,13.405327573794095
-130822234#19,130822234#19,9.943844492440604
-130822234#2,130822234#0,27.995680345572353
-130822234#2,22802816#0,3.338433843384339
-130822234#2,530253698,16.56885688568857
-130822234#3,-130822234#2,27.69186465082793
-130822234#3,130822234#3,4.505399568034557
-130822234#3,23784447#0,7.372210223182146
-130822234#5,-101344002#1,1.210943124550036
-130822234#5,-130822234#3,4.403167746580273
-130822234#5,130822234#4,1.913606911447084
-130822234#9,-130822234#5,2.2159827213822894
-130822234#9,130822232#0,1.4125269978401729
-130822234#9,130822234#6,13.0943124550036
-130822815,-38429651#0,15.994240460763137
-130822815,130822815,3.3736501079913603
-130822815,38429651#1,7.01511879049676
-130830296#1,-1350613934#4,5.22952295229523
-130830296#1,-85003034#5,13.379409647228222
-130830296#1,130830296#0,8.42034203420342
-130830296#1,19821513#0,9.844284428442846
-130830296#3,-130830296#1,8.411341134113412
-130830296#3,130830296#2,5.753375337533754
-130830296#3,148393291,13.95392368610511
-130830296#4,-130830296#3,5.743474347434744
-130830296#4,130830296#4,2.1242124212421243
-130830296#4,698771382,13.850251979841612
-130830296#9,-130830296#4,2.1242124212421243
-130830296#9,-130837938#2,29.3304535637149
-130830296#9,130830296#5,15.424842484248426
-130837933#2,-1237215042#3,3.426642664266427
-130837933#2,1237215042#4,2.7263726372637263
-130837933#2,130837933#0,21.448524118070555
-130837933#2,908661436,4.226061915046796
-130837933#5,-130837933#2,21.385169186465085
-130837933#5,-130845501#2,7.67170626349892
-130837933#5,130837933#3,9.523398128149747
-130837933#6,-130837933#5,10.450683945284377
-130837933#6,130837933#6,4.256299496040317
-130837933#6,641488156,5.752339812814975
-130837938#2,-148886353#1,14.198704103671705
-130837938#2,130837938#0,29.261339092872568
-130837938#2,148886353#2,20.706983441324695
-130837942,-130844977#0,5.431245500359971
-130837942,130837942,8.377249820014399
-130837942,130844977#1,2.895608351331893
-130844977#0,-269499250#4,24.869690424766016
-130844977#0,130844977#0,5.431245500359971
-130844977#0,1312173240#4,0.11231101511879049
-130844977#1,-130844977#0,5.431245500359971
-130844977#1,130837942,8.377249820014399
-130844977#1,130844977#1,2.895608351331893
-130844978#1,-24044609#0,5.25845932325414
-130844978#1,24044609#1,7.061195104391648
-130844978#1,698771379,33.6227501799856
-130844979,130844979,5.697624190064794
-130845019#2,-130845501#1,16.437724982001438
-130845019#2,-688968380,6.322534197264218
-130845019#2,130845019#0,22.892728581713463
-130845019#2,130845501#2,7.67170626349892
-130845501#1,130845501#0,16.55003599712023
-130845501#1,688968374#3,22.604860486048604
-130845501#2,-130845501#1,16.437724982001438
-130845501#2,-688968380,6.322534197264218
-130845501#2,130845019#0,22.892728581713463
-130845501#2,130845501#2,7.67170626349892
-1312173238,1259664877#0,2.28982898289829
-1312173238,1312173238,2.6372637263726375
-1312173239,-1267029558#3,6.5094509450945095
-1312173239,1267029558#4,10.165616561656165
-1312173239,22943108,31.6040316774658
-132322042,-19820704#0,12.250539956803454
-132322042,132322042,7.071274298056155
-132322042,19820704#1,7.4514038876889845
-1331175117,-90447843#2,2.6421886249100073
-1331175117,1331175117,4.1180705543556515
-1331175117,90447843#3,0.028797696184305256
-1343336738,-19979947#0,4.7616990640748735
-1343336738,-257304232,10.21598272138229
-1343336738,19979947#1,16.22174226061915
-134369588#1,134369588#0,6.986321094312455
-134370182#1,134370182#0,4.49532037437005
-1350613934#1,1351117674#0,9.074707470747075
-1350613934#1,696967817,0.039603960396039604
-1350613934#1,70400959,5.254725472547255
-1350613934#3,-1350613934#1,9.067506750675067
-1350613934#3,1350613934#2,5.7227722772277225
-1350613934#3,623146116#0,23.697624190064797
-1350613934#4,-1350613934#3,5.7227722772277225
-1350613934#4,-47484434#6,25.570914326853853
-1350613934#4,1350613934#4,5.22952295229523
-1350638699,-1237215041#5,10.691144708423325
-1350638699,-130837933#6,4.256299496040317
-1350638699,1350638699,4.463642908567315
-1351121542#2,1351121542#0,7.910891089108912
-1351121542#2,695717800,1.2061206120612062
-1351121542#4,-1351121542#2,7.910891089108912
-1351121542#4,-47800702#3,40.44924406047516
-1351121542#4,1351121542#3,2.668766876687669
-1351121542#6,-1351121542#4,2.6984698469846986
-1351121542#6,-650715007#1,17.73218142548596
-1351121542#6,1351121542#5,6.1818181818181825
-1351699825,-170345938#0,22.78041756659467
-1351699825,1351699825,6.889848812095033
-1351699825,170345938#1,2.761699064074874
-137068403,137068403,3.0352771778257734
-137068403,137068406,4.639308855291576
-137068403,27575618#4,7.159107271418286
-137068404,134387880#0,5.80849532037437
-137068404,137068404,11.864650827933765
-137068404,22882537,1.1331893448524117
-137068406,137068403,3.0352771778257734
-137068406,137068406,4.639308855291576
-137068406,27575618#4,7.159107271418286
-1371609534#1,1371609534#0,2.8034557235421165
-138506500#0,-117177767#1,15.06695464362851
-138506500#0,117177767#2,9.491720662347012
-138506500#0,138506500#0,0.25629949604031677
-138506500#1,-138506500#0,0.25629949604031677
-138506500#1,138506500#1,0.8408927285817134
-138506500#1,689156360,4.362850971922247
-138506500#2,-138506500#1,0.8408927285817134
